Name,Location,Kms_driven,Fuel_type,Owner,Year,Price
Hyundai Getz ,Chennai,73000,Petrol,0,2006,119000
Hyundai Santro Xing,Chennai,85000,Petrol,0,2004,69000
Hyundai Santro ,Chennai,85000,Petrol,0,2002,89000
Ford Figo ,Chennai,86000,Diesel,0,2012,129000
Toyota Fortuner 2.8,Lucknow,55000,Diesel,0,2019,2931000
Mahindra Bolero ZLX,Chennai,79950,Diesel,0,2018,790000
Fiat Linea Emotion,Chennai,75000,Diesel,0,2009,200000
Maruti Suzuki Baleno,Pune,19775,Petrol,2,2018,718699
Tata Tiago ,Pune,28495,Petrol,1,2018,543399
Hyundai Creta ,Pune,28344,Diesel,2,2020,1780399
Toyota Glanza ,Pune,10801,Petrol,2,2020,757999
Tata Nexon ,Pune,4365,Petrol,1,2019,1013999
Maruti Suzuki Celerio,Pune,53266,Diesel,2,2016,439999
Maruti Suzuki S,Pune,50866,Diesel,2,2018,839199
Maruti Suzuki Alto,Pune,24230,Petrol,2,2019,421799
Maruti Suzuki Baleno,Pune,64275,Petrol,2,2016,580599
Hyundai Venue ,Pune,8924,Petrol,2,2019,986799
MG Motors Hector,Pune,12208,Petrol,2,2021,2057399
Honda City V,Pune,26956,Petrol,2,2018,1082299
Hyundai Grand i10,Pune,12223,Petrol,2,2017,576999
Hyundai Grand i10,Pune,23960,Petrol,2,2016,533199
Maruti Suzuki Wagon,Pune,33687,Petrol,2,2015,473299
MG Motors Hector,Pune,24887,Petrol,2,2020,1838399
Toyota Innova 2.5,Mumbai,74000,Diesel,2,2013,800000
Nissan Micra XE,Bhubaneswar,40000,Petrol,0,2011,199000
Hyundai Creta 1.6,Pune,45000,Diesel,0,2020,1750000
Maruti Suzuki Swift,Chennai,41000,Diesel,0,2018,595000
Hyundai Grand i10,Pune,52000,Petrol,0,2014,0
BMW 3 Series,Mumbai,61000,Diesel,2,2015,1890000
Jaguar XF 2.2,Mumbai,20000,Diesel,2,2014,2150000
Hyundai Verna Fluidic,Mumbai,26000,Petrol,1,2015,699000
Hyundai Grand i10,Pune,71423,Petrol,2,2015,451799
Hyundai Grand i10,Pune,34095,Petrol,1,2015,446999
Maruti Suzuki Wagon,Pune,32658,Petrol,2,2016,470799
Maruti Suzuki Ignis,Pune,33166,Petrol,2,2017,511799
Maruti Suzuki Wagon,Chennai,31284,Petrol,2,2014,399899
Maruti Suzuki Wagon,Pune,66090,Petrol,2,2015,375999
Ford Ecosport ,Pune,51295,Petrol,2,2016,664799
Maruti Suzuki Baleno,Pune,48693,Petrol,2,2016,617799
Maruti Suzuki Ciaz,Pune,36626,Diesel,2,2017,749299
Renault Duster ,Pune,55752,Diesel,2,2016,795799
Tata Tigor ,Pune,49341,Diesel,2,2017,543499
Maruti Suzuki Alto,Chennai,60251,Petrol,2,2015,317199
Maruti Suzuki Alto,Pune,22269,Petrol,2,2015,373699
Volkswagen Ameo ,Pune,38999,Petrol,2,2016,501799
Maruti Suzuki Vitara,Pune,29110,Diesel,2,2019,838699
Hyundai Creta ,Pune,14506,Petrol,2,2020,1804399
