Name,Location,Kms_driven,Fuel_type,Owner,Year,Price
Hyundai Elite i20,Pune,25416,Petrol,1,2018,658199
Toyota Etios Liva,Chennai,103182,Petrol,1,2012,320199
Mahindra XUV 500,Pune,44721,Diesel,2,2018,1518099
Toyota Innova Crysta,Chennai,35000,Diesel,0,2019,2200000
Maruti Suzuki Alto,Bangalore,85000,Petrol,0,2007,88000
Volkswagen Ameo ,Pune,38999,Petrol,2,2016,501799
BMW 3 Series,Kolkata,8000,Diesel,1,2013,1148888
Hyundai EON Magna,Bangalore,78895,Petrol,2,2014,323399
Maruti Suzuki Eeco,Bangalore,8409,Petrol,2,2019,494199
Honda Amaze ,Pune,35944,Petrol,2,2014,472499
Skoda Laura Ambition,Madurai,95000,Diesel,0,2011,590000
Maruti Suzuki Swift,Chennai,77000,Petrol,0,2012,390000
Maruti Suzuki S,Pune,56349,Diesel,2,2018,858599
Maruti Suzuki Ertiga,Hyderabad,51000,Diesel,0,2017,821000
Maruti Suzuki Swift,Chennai,40000,Petrol,0,2017,575000
Hyundai Creta 1.6,Chennai,134500,Diesel,0,2018,930000
Maruti Suzuki Alto,Chennai,61826,Petrol,2,2016,297299
Maruti Suzuki SX4,Trichy,147000,Petrol,0,2007,250000
Toyota Glanza G,Chennai,19942,Petrol,0,2019,725000
Fiat Linea Dynamic,Kolkata,30000,Petrol,1,2012,256000
Hyundai Creta ,Pune,76915,Diesel,2,2017,1198299
Honda WRV VX,Kolkata,34000,Petrol,1,2018,735000
Hyundai Elite i20,Pune,16102,Petrol,2,2019,712699
Hyundai i20 ,Chennai,33901,Petrol,1,2013,431099
Maruti Suzuki Ignis,Chennai,12558,Petrol,2,2018,548699
Hyundai Creta 1.6,Bangalore,72000,Diesel,0,2017,0
Maruti Suzuki Baleno,Chennai,20688,Petrol,2,2019,656299
Maruti Suzuki Alto,Udaipur,56000,Petrol,0,2014,295000
Mercedes Benz E,Kolkata,10000,Diesel,1,2013,1948888
Maruti Suzuki S,Pune,64803,Diesel,2,2018,1057399
Maruti Suzuki Ciaz,Pune,50842,Diesel,2,2018,805099
Hyundai i20 Asta,Pune,70423,Petrol,1,2013,452699
Hyundai Xcent ,Chennai,70359,Diesel,2,2015,464199
Maruti Suzuki S,Pune,29115,Diesel,2,2017,985299
Maruti Suzuki Alto,Pune,16980,Petrol,1,2016,316799
Volkswagen Polo HIGHLINE1.2L,Bangalore,53293,Petrol,3,2018,639699
Honda Jazz ,Pune,21426,Petrol,2,2018,707599
Hyundai EON ,Pune,17900,Petrol,3,2016,309399
Maruti Suzuki Swift,Bangalore,116000,Petrol,0,2007,215000
Hyundai Elite i20,Bangalore,74913,Petrol,2,2016,599799
Maruti Suzuki Wagon,Chennai,38955,Petrol,1,2018,495499
Hyundai Grand i10,Pune,14765,Petrol,2,2016,465499
Hyundai Santro ,Chennai,85000,Petrol,0,2002,89000
Maruti Suzuki Ertiga,Chennai,2000,Petrol,0,2019,950000
Ford Ecosport ,Pune,10102,Petrol,2,2019,980399
Maruti Suzuki Celerio,Bangalore,61427,Petrol,1,2017,452099
Maruti Suzuki Eeco,Bangalore,17981,Petrol,2,2018,432699
Tata Indigo CS,Bangalore,88500,Diesel,0,2009,160000
Hyundai i20 Active,Pune,33616,Diesel,1,2015,583999
Honda Amaze 1.5,Jaipur,76000,Diesel,0,2015,425000
Mahindra TUV300 ,Pune,35826,Diesel,1,2016,620099
Maruti Suzuki S,Pune,50866,Diesel,2,2018,839199
Maruti Suzuki Zen,Bangalore,73000,Petrol,0,2007,145000
Maruti Suzuki Wagon,Pune,66090,Petrol,2,2015,375999
Maruti Suzuki Vitara,Pune,29110,Diesel,2,2019,838699
Tata Tiago Revotorq,Pune,14000,Petrol,0,2022,700000
Jeep Compass ,Pune,65668,Diesel,1,2017,1400999
Maruti Suzuki Alto,Chennai,60251,Petrol,2,2015,317199
Honda WR V,Pune,38242,Diesel,2,2018,844199
Maruti Suzuki Alto,Pune,48658,Petrol,2,2017,343299
Hyundai Verna ,Pune,44543,Petrol,1,2016,654699
Honda City V,Bangalore,40025,Petrol,1,2016,787399
Volkswagen Polo ,Pune,50077,Petrol,2,2016,553599
Tata Tiago ,Bangalore,10890,Petrol,1,2017,535899
Maruti Suzuki Baleno,Chennai,21145,Petrol,2,2017,636899
Tata Hexa ,Chennai,46337,Diesel,2,2019,1705799
Tata Nexon XZ,Jaipur,63088,Diesel,0,2019,875000
Honda WR V,Pune,41342,Diesel,2,2018,809499
Maruti Suzuki Swift,Bangalore,28979,Petrol,1,2014,451399
Maruti Suzuki Eeco,Chennai,25735,Petrol,1,2019,493899
Hyundai Venue ,Chennai,29000,Diesel,1,2019,600000
Hyundai i20 Magna,Bangalore,94000,Diesel,0,2012,385000
Maruti Suzuki Ertiga,Chennai,35623,Petrol,0,2020,1090000
Honda WRV VX,Mumbai,32000,Petrol,0,2019,825000
Tata Zest XMS,Pune,64000,Diesel,0,2016,390000
Honda City ZX,Pune,29000,Petrol,0,2019,1150000
Hyundai Grand i10,Chennai,20235,Petrol,1,2016,453199
Maruti Suzuki Vitara,Pune,69376,Diesel,2,2018,783099
Tata Harrier ,Pune,16874,Diesel,2,2020,1508799
Maruti Suzuki Celerio,Chennai,47425,Petrol,1,2016,432999
Maruti Suzuki Ignis,Chennai,17283,Petrol,2,2019,575099
Hyundai Creta 1.6,Chennai,123920,Diesel,1,2017,875999
Hyundai Elite i20,Chennai,75876,Petrol,1,2016,642899
Hyundai Verna 1.6,Coimbatore,13000,Petrol,1,2022,1550000
Toyota Fortuner ,Chennai,42000,Diesel,0,2019,3650000
Hyundai EON Era,Chennai,69220,Petrol,2,2017,321399
Maruti Suzuki Ciaz,Pune,36626,Diesel,2,2017,749299
Maruti Suzuki Eeco,Bangalore,8825,Petrol,2,2019,490399
Hyundai Santro Sportz,Pune,29488,Petrol,2,2018,513099
Mahindra e2o T2,Bangalore,46000,Electric,1,2016,420000
Maruti Suzuki Dzire,Bangalore,16533,Petrol,2,2019,684999
Hyundai Creta ,Pune,66400,Petrol,2,2017,1042699
Hyundai Elite i20,Chennai,63648,Petrol,1,2016,656399
Hyundai Grand i10,Bangalore,27317,Petrol,2,2017,616599
Maruti Suzuki Wagon,Chennai,66143,Petrol,2,2015,405199
Maruti Suzuki Baleno,Pune,40902,Petrol,2,2017,627499
Maruti Suzuki Alto,Chennai,41900,Petrol,2,2017,307999
Maruti Suzuki Swift,Chennai,16189,Petrol,0,2020,695000
Honda City ZX,Delhi,85000,Petrol,0,2008,150000
Hyundai i10 Magna,Kolkata,28000,Petrol,1,2015,288888
Maruti Suzuki Vitara,Chennai,61064,Diesel,2,2018,850499
Maruti Suzuki Alto,Chennai,41365,Petrol,2,2017,340199
Maruti Suzuki Wagon,Bangalore,20141,Petrol,2,2016,458699
Ford Ecosport ,Pune,27210,Petrol,2,2018,784399
Maruti Suzuki Wagon,Pune,32658,Petrol,2,2016,470799
Tata Nexon ,Pune,18019,Petrol,1,2017,703999
Renault Triber ,Bangalore,28621,Petrol,1,2019,623399
Hyundai Grand i10,Chennai,16300,Petrol,2,2018,590799
Hyundai i20 Active,Pune,43538,Petrol,2,2015,561499
